ID,EHR_kood,TaisAadress,Maakond,KOV,KOV_voi_LinnaOsa,Tänav_Hoone_Nr,Esmane_Kasutuselevotu_Aasta,Ajastu,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Maksimaalne_Korruste_Arv,Korterite arv trepikojas,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis
352,104025977,"Tartu maakond, Kambja vald, Räni alevik, Kogre tee 4",Tartu maakond, Kambja vald, Räni alevik, Kogre tee 4,1975,1971-1980,90,90,360,5,3,0,6,1,15.5,15.5,,,1140,5894.3,1347.8,4754.3,suurpaneel,16,12,'bituumen või  PVC  plaat või rullmaterjal','kohtküte',1,0,0,1,0,1,B,2408,706
20,110009774,"Põlva maakond, Põlva vald, Põlva linn, Uus tn 9",Põlva maakond, Põlva vald, Põlva linn, Uus tn 9,1970,1961-1970,90,90,360,5,3,0,6,1,16.1,16,,,1141,5206,949.3,4314.8,suurplokk,14,10,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0,C,3638,768.7
205,110009948,"Põlva maakond, Põlva vald, Põlva linn, Kesk tn 40",Põlva maakond, Põlva vald, Põlva linn, Kesk tn 40,1976,1971-1980,90,90,410,5,3,0,6,1,16,16,12,113,1452,6384.6,1132,5109,väikepaneel,4,0,"'muu', 'bituumen või  PVC  plaat või rullmaterjal'",'kaugküte',1,0,0,1,0,0,C,2986.4,933.6
237,108003158,"Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 3",Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 3,1983,1981-1990,95,100,471,5,2,0,8,1,16.9,17,57.7,100.6,1844,7370.6,1466.5,6656,tellis,10,6,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1,B,3483,1229
311,104024984,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 8",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 8,1973,1971-1980,95,100,408,5,3,0,7,1,16.5,16.5,31.3,114.2,1355,5848.4,1310.5,4993,suurplokk,16,12,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0,C,1459.8,1611
332,104017504,"Tartu maakond, Tartu linn, Tartu linn, Sõpruse pst 8",Tartu maakond, Tartu linn, Tartu linn, Sõpruse pst 8,1973,1971-1980,110,110,468,5,3,0,8,1,17.8,18,,,1433,7350,462.8,5736,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1,C,2345.4,1328.8
140,104017430,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 32",Tartu maakond, Tartu linn, Tartu linn, Anne tn 32,1971,1971-1980,115,120,475,5,3,0,8,1,17.8,18,11.7,129.4,1550,6678.2,1489.4,5462,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,C,2613,1183
151,104017434,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 12",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 12,1972,1971-1980,115,120,474,5,3,0,8,1,16.5,16.5,11.7,129.6,1441,6703.9,418.1,5615,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0,C,2264.8,1236.7
370,104017432,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 4",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 4,1971,1971-1980,119,120,510,5,3,0,8,1,15.6,15.5,,,1421,7416.9,1707.1,6219,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0,B,2907.5,902.8
155,101020532,"Harju maakond, Tallinn, Kristiine linnaosa, Rivi tn 4",Harju maakond, Tallinn, Kristiine linnaosa, Rivi tn 4,1984,1981-1990,120,120,365,5,12,0,2,1,18.2,18,16,79.5,1458,6197.9,1898.7,5021,tellis,28,24,'bituumen või  PVC  plaat või rullmaterjal',"'kaugküte', 'kohtküte'",0,1,0,1,0,1,D,2047.4,801.4
271,101021129,"Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 8",Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 8,1974,1971-1980,143,140,609,9,4,4,4,1,29.4,29.5,,,1178,9354.9,1871.6,8193.6,suurpaneel,12,8,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0,C,4023.7,1477.3
194,101027441,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 78",Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 78,1975,1971-1980,144,140,612,9,4,4,4,1,29.4,29.5,,,1187,9540.4,1858.8,8680,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,0,E,0,0
148,104017436,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 59",Tartu maakond, Tartu linn, Tartu linn, Anne tn 59,1972,1971-1980,144,140,649,9,4,4,4,1,26.8,27,,,1139,9633.3,1186.7,8024,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,1,1,C,0,0
276,101010583,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131",Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131,1972,1971-1980,162,160,756,9,4,5,5,0,32.4,32.5,,,1534,11304.8,1747.5,12298.4,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,C,5147,2384.6
281,101042029,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paagi tn 10",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paagi tn 10,1972,1971-1980,264,260,282,7,19,2,2,1,24.9,25,,,1399.2,8853.6,2351.8,8853.6,suurpaneel,32,28,'bituumen või  PVC  plaat või rullmaterjal','lokaalküte',1,0,0,1,0,1,D,3635,872.6
